C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.420138	-0.109918	-1.530411	0.995399	-1.302294	-0.424256	0.106586	1.529418	-0.994925	1.297646	0.420138	-0.109918	-1.530411	0.995399	-1.302294	-0.424256	0.106586	1.529418	-0.994925	1.297646	0.046528	-0.011632	0.038774	0.038774	0.038774	0.027142	-0.015509	0.073670	0.096934	-0.019387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024251	0.281599	-4.545592	-0.005100	-0.034215	0.018916	-2.727260	0.198477	9.426442	1.000000	0.000000	0.000000	0.000000	
0.448319	-0.081738	-1.502231	1.023579	-1.274114	-0.396076	0.134766	1.557598	-0.966745	1.325826	0.420138	-0.109918	-1.530411	0.995399	-1.302294	-0.424256	0.106586	1.529418	-0.994925	1.297646	0.046528	-0.011632	0.038774	0.038774	0.038774	0.027142	-0.015509	0.073670	0.096934	-0.019387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024251	0.281599	-4.545592	-0.005100	-0.034215	0.018916	-2.727260	0.198477	9.426442	1.000000	0.000000	0.000000	0.000000	
0.475937	-0.054120	-1.474613	1.051197	-1.246496	-0.368458	0.162384	1.585216	-0.939127	1.353444	0.420108	-0.109908	-1.530441	0.995399	-1.302264	-0.424256	0.106596	1.529388	-0.994986	1.297646	0.003877	0.002585	-0.019387	0.058161	0.058161	0.038774	0.000000	0.034896	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024263	0.280850	-4.545235	-0.005100	-0.035990	0.019449	-2.772694	0.203259	9.481441	1.000000	0.000000	0.000000	0.000000	
0.502441	-0.027616	-1.448108	1.077701	-1.219991	-0.341953	0.188889	1.611721	-0.912622	1.379949	0.420108	-0.109908	-1.530411	0.995399	-1.302325	-0.424135	0.106606	1.529418	-0.994986	1.297676	0.054283	0.001292	0.038774	0.027142	-0.007755	0.019387	0.019387	0.034896	0.058161	0.058161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024305	0.280123	-4.544729	-0.003768	-0.030131	0.043151	-2.747585	0.026304	9.432421	1.000000	0.000000	0.000000	0.000000	
0.527304	-0.002753	-1.423246	1.102564	-1.195129	-0.317091	0.213751	1.636583	-0.887760	1.404811	0.420108	-0.109908	-1.530411	0.995399	-1.302325	-0.424135	0.106606	1.529418	-0.994986	1.297676	0.054283	0.001292	0.038774	0.027142	-0.007755	0.019387	0.019387	0.034896	0.058161	0.058161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024305	0.280123	-4.544729	-0.003768	-0.030131	0.043151	-2.747585	0.026304	9.432421	1.000000	0.000000	0.000000	0.000000	
0.550028	0.019971	-1.400521	1.125288	-1.172405	-0.294366	0.236476	1.659307	-0.865035	1.427535	0.430347	-0.107121	-1.529654	1.002426	-1.293722	-0.421833	0.112139	1.549229	-0.983323	1.305734	0.438143	0.158972	0.062038	0.294680	0.236520	0.100812	0.233935	0.721191	0.589360	0.279171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023601	0.280520	-4.541784	-0.146869	0.081455	0.183855	-1.779115	2.495305	8.582319	1.000000	0.000000	0.000000	0.000000	
0.570161	0.040104	-1.380389	1.145421	-1.152272	-0.274234	0.256608	1.679440	-0.844903	1.447668	0.450764	-0.098842	-1.519657	1.018602	-1.279606	-0.412533	0.122085	1.573220	-0.967359	1.320092	0.814248	0.337331	0.403246	0.887918	0.678540	0.434265	0.444605	0.996484	0.771597	0.527322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019135	0.285062	-4.537823	-0.339238	0.237339	0.172403	-2.411610	0.094456	9.567528	1.000000	0.000000	0.000000	0.000000	
0.587300	0.057243	-1.363250	1.162560	-1.135133	-0.257095	0.273747	1.696579	-0.827764	1.464807	0.450764	-0.098842	-1.519657	1.018602	-1.279606	-0.412533	0.122085	1.573220	-0.967359	1.320092	0.814248	0.337331	0.403246	0.887918	0.678540	0.434265	0.444605	0.996484	0.771597	0.527322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012536	0.290481	-4.532630	-0.456950	0.236096	0.293932	-2.989105	0.013152	10.728497	1.000000	0.000000	0.000000	0.000000	
0.601104	0.071047	-1.349446	1.176364	-1.121329	-0.243291	0.287551	1.710383	-0.813960	1.478611	0.480753	-0.082797	-1.494333	1.048379	-1.252192	-0.389481	0.139917	1.612751	-0.938309	1.347779	1.298919	0.734115	1.000361	1.360957	0.984852	1.077909	0.735408	1.516052	1.337693	1.074031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012536	0.290481	-4.532630	-0.456950	0.236096	0.293932	-2.989105	0.013152	10.728497	1.000000	0.000000	0.000000	0.000000	
0.611297	0.081240	-1.339252	1.186557	-1.111136	-0.233097	0.297745	1.720577	-0.803766	1.488804	0.514165	-0.063521	-1.465707	1.078671	-1.222626	-0.360794	0.161182	1.648071	-0.911743	1.376647	1.314428	0.785814	1.112805	0.903427	1.062399	0.980975	0.794861	1.089541	0.957710	0.957710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002669	0.294012	-4.525948	-0.612034	0.174488	0.306183	-3.366131	-0.700646	9.695860	1.000000	0.000000	0.000000	0.000000	
