C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.420199	-0.110120	-1.530381	0.994217	-1.302294	-0.424256	0.106586	1.529085	-0.994895	1.297676	0.420199	-0.110120	-1.530381	0.994217	-1.302294	-0.424256	0.106586	1.529085	-0.994895	1.297676	-0.019387	0.009047	0.062038	0.007755	0.027142	0.000000	-0.006462	0.042651	-0.019387	0.027142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028580	0.277918	-4.300210	-0.005810	-0.018679	0.027172	-2.642369	0.131521	9.443181	1.000000	0.000000	0.000000	0.000000	
0.457675	-0.072644	-1.492904	1.031694	-1.264818	-0.386780	0.144062	1.566561	-0.957419	1.335152	0.420199	-0.110120	-1.530381	0.994217	-1.302294	-0.424256	0.106586	1.529085	-0.994895	1.297676	-0.019387	0.009047	0.062038	0.007755	0.027142	0.000000	-0.006462	0.042651	-0.019387	0.027142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028635	0.277528	-4.299636	-0.006254	-0.016993	0.026373	-2.636391	0.337171	9.412094	1.000000	0.000000	0.000000	0.000000	
0.493824	-0.036495	-1.456756	1.067842	-1.228669	-0.350631	0.180211	1.602710	-0.921270	1.371301	0.420199	-0.110130	-1.530411	0.994278	-1.302294	-0.424256	0.106596	1.529054	-0.994864	1.297676	-0.015509	-0.005170	0.015509	-0.003877	0.054283	-0.003877	0.015509	-0.011632	0.058161	0.042651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028636	0.277180	-4.299062	-0.006787	-0.010779	0.025308	-2.625630	0.314454	9.408507	1.000000	0.000000	0.000000	0.000000	
0.527364	-0.002955	-1.423215	1.101383	-1.195129	-0.317091	0.213751	1.636250	-0.887729	1.404841	0.420199	-0.110130	-1.530381	0.994338	-1.302325	-0.424074	0.106606	1.529115	-0.994864	1.297676	-0.011632	-0.001292	0.007755	-0.019387	0.015509	0.023264	0.024557	0.007755	0.062038	0.050406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028636	0.277180	-4.299062	-0.006787	-0.010779	0.025308	-2.625630	0.314454	9.408507	1.000000	0.000000	0.000000	0.000000	
0.557109	0.026789	-1.393471	1.131127	-1.165385	-0.287347	0.243495	1.665994	-0.857985	1.434585	0.420199	-0.110130	-1.530381	0.994338	-1.302325	-0.424074	0.106606	1.529115	-0.994864	1.297676	-0.011632	-0.001292	0.007755	-0.019387	0.015509	0.023264	0.024557	0.007755	0.062038	0.050406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028678	0.277064	-4.298284	-0.010249	0.006976	0.066676	-2.903019	0.184129	9.635679	1.000000	0.000000	0.000000	0.000000	
0.582003	0.051683	-1.368577	1.156021	-1.140491	-0.262453	0.268389	1.690888	-0.833091	1.459479	0.433528	-0.105587	-1.526110	1.004123	-1.291329	-0.419530	0.113422	1.551682	-0.980264	1.308732	0.635889	0.223595	0.298557	0.531200	0.492426	0.263661	0.350256	0.853021	0.756087	0.438143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027284	0.278181	-4.294433	-0.221082	0.117142	0.240491	-2.072048	2.962801	8.785578	1.000000	0.000000	0.000000	0.000000	
0.601165	0.070845	-1.349415	1.175183	-1.121329	-0.243291	0.287551	1.710050	-0.813929	1.478641	0.458640	-0.094126	-1.509903	1.027266	-1.270458	-0.404142	0.126922	1.583216	-0.957817	1.328574	1.089541	0.540247	0.651398	1.112805	0.802616	0.666908	0.533785	1.182598	0.899550	0.632011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020852	0.283281	-4.289017	-0.468845	0.267522	0.258423	-2.743999	1.091621	10.400890	1.000000	0.000000	0.000000	0.000000	
0.613916	0.083596	-1.336664	1.187934	-1.108578	-0.230539	0.300000	1.722801	-0.801178	1.491393	0.458640	-0.094126	-1.509903	1.027266	-1.270458	-0.404142	0.126922	1.583216	-0.957817	1.328574	1.089541	0.540247	0.651398	1.112805	0.802616	0.666908	0.533785	1.182598	0.899550	0.632011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012210	0.289468	-4.281919	-0.620024	0.263971	0.387320	-2.882693	-0.344345	10.869581	1.000000	0.000000	0.000000	0.000000	
0.619804	0.089485	-1.330775	1.193823	-1.102689	-0.224651	0.300000	1.728690	-0.795289	1.497281	0.497656	-0.072437	-1.475401	1.065343	-1.234774	-0.371609	0.150348	1.630563	-0.921194	1.363985	1.581967	0.903427	1.473400	1.775835	1.190352	1.364834	0.970635	1.663392	1.562580	1.256268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012210	0.289468	-4.281919	-0.620024	0.263971	0.387320	-2.882693	-0.344345	10.869581	1.000000	0.000000	0.000000	0.000000	
0.618622	0.088303	-1.331958	1.192640	-1.103871	-0.225833	0.300000	1.727508	-0.796472	1.496099	0.536914	-0.049607	-1.441474	1.098603	-1.201634	-0.339166	0.173572	1.669276	-0.891751	1.395368	1.446259	0.951248	1.194230	1.264023	1.128315	1.473400	0.983559	1.368711	1.201985	1.236881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.294476	-4.273713	-0.747944	0.261574	0.346130	-3.363341	-1.092817	10.006329	1.000000	0.000000	0.000000	0.000000	
0.610410	0.080091	-1.340169	1.184429	-1.112083	-0.234045	0.296797	1.719296	-0.804683	1.487887	0.536914	-0.049607	-1.441474	1.098603	-1.201634	-0.339166	0.173572	1.669276	-0.891751	1.395368	1.446259	0.951248	1.194230	1.264023	1.128315	1.473400	0.983559	1.368711	1.201985	1.236881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011076	0.297433	-4.268191	-0.615585	0.131434	0.241379	-3.265298	0.216411	10.258609	1.000000	0.000000	0.000000	0.000000	
0.595460	0.065141	-1.355119	1.169479	-1.127033	-0.248995	0.281847	1.704346	-0.819633	1.472937	0.569872	-0.024919	-1.405941	1.130501	-1.168131	-0.306511	0.199895	1.708110	-0.860338	1.429355	1.244636	1.018456	1.302796	1.132192	1.147701	1.209739	1.022333	1.314428	1.143824	1.174843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011076	0.297433	-4.268191	-0.615585	0.131434	0.241379	-3.265298	0.216411	10.258609	1.000000	0.000000	0.000000	0.000000	
0.574302	0.043982	-1.376278	1.148320	-1.148192	-0.270153	0.260689	1.683187	-0.840792	1.451779	0.594984	-0.003796	-1.381617	1.148736	-1.145836	-0.283065	0.220019	1.730890	-0.841739	1.452165	0.868531	0.864654	0.833634	0.736700	0.806493	0.864653	0.807785	0.818125	0.651398	0.957710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024477	0.299571	-4.260191	-0.354329	0.054380	0.247061	-3.278450	-1.860419	9.384594	1.000000	0.000000	0.000000	0.000000	
0.547684	0.017364	-1.402896	1.121702	-1.174809	-0.296771	0.234071	1.656569	-0.867410	1.425161	0.594984	-0.003796	-1.381617	1.148736	-1.145836	-0.283065	0.220019	1.730890	-0.841739	1.452165	0.868531	0.864654	0.833634	0.736700	0.806493	0.864653	0.807785	0.818125	0.651398	0.957710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027730	0.299985	-4.255148	-0.125919	-0.002967	0.238805	-2.916171	-1.324771	8.787970	1.000000	0.000000	0.000000	0.000000	
0.516550	-0.013770	-1.434030	1.090568	-1.205943	-0.327905	0.202937	1.625435	-0.898544	1.394027	0.606464	0.010997	-1.371984	1.157612	-1.133811	-0.271463	0.235418	1.740129	-0.833015	1.464191	0.445898	0.602285	0.279171	0.271416	0.523445	0.411001	0.591945	0.321822	0.317944	0.422633	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027730	0.299985	-4.255148	-0.125919	-0.002967	0.238805	-2.916171	-1.324771	8.787970	1.000000	0.000000	0.000000	0.000000	
0.482002	-0.048317	-1.468577	1.056021	-1.240491	-0.362453	0.168389	1.590888	-0.933091	1.359479	0.608403	0.020458	-1.374680	1.158218	-1.131054	-0.269949	0.244717	1.737917	-0.832197	1.465463	0.062038	0.367058	-0.147340	-0.058161	0.158972	0.077547	0.374812	-0.193868	0.054283	0.112444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025725	0.299302	-4.249734	0.106753	-0.065995	0.264549	-3.394428	-0.711407	9.496984	1.000000	0.000000	0.000000	0.000000	
0.445266	-0.085054	-1.505314	1.019284	-1.277228	-0.399189	0.131653	1.554151	-0.969828	1.322743	0.608403	0.020458	-1.374680	1.158218	-1.131054	-0.269949	0.244717	1.737917	-0.832197	1.465463	0.062038	0.367058	-0.147340	-0.058161	0.158972	0.077547	0.374812	-0.193868	0.054283	0.112444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019389	0.296758	-4.244216	0.342443	-0.202793	0.239515	-3.175625	-3.143343	9.493398	1.000000	0.000000	0.000000	0.000000	
